"","Obsclass","PredClass","ProbNotexceed","ProbExceed","SiteID"
"95026",0,"0",0.572,0.428,"95026"
"95044",0,"0",0.85,0.15,"95044"
"97001",1,"0",0.876,0.124,"97001"
"97155",0,"0",0.612,0.388,"97155"
"97245",0,"0",0.79,0.21,"97245"
"97557",0,"0",0.618,0.382,"97557"
"97957",0,"0",0.906,0.094,"97957"
"103492",0,"0",0.7,0.3,"103492"
"103526",0,"0",0.514,0.486,"103526"
"103536",0,"1",0.356,0.644,"103536"
"103556",1,"0",0.768,0.232,"103556"
"103557",0,"0",0.702,0.298,"103557"
"103559",0,"0",0.584,0.416,"103559"
"103581",0,"1",0.454,0.546,"103581"
"103590",0,"0",0.512,0.488,"103590"
"103593",1,"1",0.39,0.61,"103593"
"103615",1,"1",0.33,0.67,"103615"
"103624",0,"0",0.762,0.238,"103624"
"104134",0,"1",0.386,0.614,"104134"
"104334",1,"0",0.838,0.162,"104334"
"105190",0,"0",0.986,0.014,"105190"
"105197",0,"0",0.954,0.046,"105197"
"105203",0,"0",0.798,0.202,"105203"
"106121",1,"0",0.52,0.48,"106121"
"106172",0,"1",0.338,0.662,"106172"
"106217",0,"1",0.304,0.696,"106217"
"106995",1,"1",0.074,0.926,"106995"
"107056",0,"0",0.828,0.172,"107056"
"107185",0,"0",0.902,0.098,"107185"
"107266",1,"0",0.512,0.488,"107266"
"107315",0,"0",0.622,0.378,"107315"
"107421",1,"1",0.238,0.762,"107421"
"107565",0,"0",0.834,0.166,"107565"
"107811",0,"0",0.906,0.094,"107811"
"107869",0,"0",0.918,0.082,"107869"
"107892",0,"0",0.768,0.232,"107892"
"107918",0,"0",0.898,0.102,"107918"
"108085",1,"0",0.928,0.072,"108085"
"108109",1,"0",0.818,0.182,"108109"
"108404",0,"0",0.964,0.036,"108404"
"108488",0,"0",0.98,0.02,"108488"
"109654",0,"0",0.978,0.022,"109654"
"109693",0,"0",0.98,0.02,"109693"
"110053",0,"0",0.866,0.134,"110053"
"110757",1,"0",0.84,0.16,"110757"
"110761",1,"0",0.558,0.442,"110761"
"110847",0,"0",0.712,0.288,"110847"
"110874",1,"1",0.13,0.87,"110874"
"110961",1,"1",0.14,0.86,"110961"
"110985",0,"1",0.412,0.588,"110985"
"111006",1,"1",0.152,0.848,"111006"
"111166",0,"0",0.576,0.424,"111166"
"111282",0,"1",0.342,0.658,"111282"
"111331",1,"1",0.35,0.65,"111331"
"111420",0,"0",0.574,0.426,"111420"
"112253",0,"1",0.488,0.512,"112253"
"112303",1,"1",0.402,0.598,"112303"
"112342",1,"0",0.708,0.292,"112342"
"112372",1,"1",0.376,0.624,"112372"
"112425",1,"0",0.572,0.428,"112425"
"112434",1,"0",0.788,0.212,"112434"
"112438",1,"0",0.746,0.254,"112438"
"112504",1,"0",0.748,0.252,"112504"
"112559",0,"0",0.622,0.378,"112559"
"115223",0,"0",0.744,0.256,"115223"
"115244",0,"0",0.822,0.178,"115244"
"115261",0,"0",0.63,0.37,"115261"
"115454",0,"0",0.998,0.002,"115454"
"116013",0,"0",0.976,0.024,"116013"
"117047",1,"1",0.414,0.586,"117047"
"117113",0,"0",0.964,0.036,"117113"
"117311",0,"0",0.992,0.008,"117311"
"117320",0,"0",0.996,0.004,"117320"
"117321",0,"0",0.992,0.008,"117321"
"117331",0,"0",0.96,0.04,"117331"
"117639",1,"1",0.338,0.662,"117639"
"118050",0,"0",0.964,0.036,"118050"
"118133",0,"0",0.984,0.016,"118133"
"118136",1,"0",0.718,0.282,"118136"
"118150",0,"0",0.654,0.346,"118150"
"118172",0,"0",0.962,0.038,"118172"
"118219",0,"0",0.892,0.108,"118219"
"118223",0,"0",0.854,0.146,"118223"
"118227",0,"0",0.968,0.032,"118227"
"118228",0,"0",0.962,0.038,"118228"
"118231",0,"0",0.924,0.076,"118231"
"118271",0,"0",0.826,0.174,"118271"
"118304",0,"1",0.492,0.508,"118304"
"118305",0,"1",0.46,0.54,"118305"
"118320",0,"0",0.542,0.458,"118320"
"118396",0,"0",0.648,0.352,"118396"
"118415",0,"0",0.802,0.198,"118415"
"118432",0,"0",0.826,0.174,"118432"
"118600",1,"1",0.076,0.924,"118600"
"118755",0,"0",0.802,0.198,"118755"
"118898",0,"0",0.554,0.446,"118898"
"118903",0,"0",0.884,0.116,"118903"
"118949",0,"1",0.444,0.556,"118949"
"119578",0,"0",0.906,0.094,"119578"
"119581",0,"0",0.948,0.052,"119581"
"119582",0,"0",0.98,0.02,"119582"
"119589",0,"0",0.836,0.164,"119589"
"119591",1,"0",0.972,0.028,"119591"
"119600",0,"0",0.984,0.016,"119600"
"119730",0,"0",0.84,0.16,"119730"
"119803",0,"0",0.984,0.016,"119803"
"119834",0,"0",0.948,0.052,"119834"
"119853",0,"0",0.936,0.064,"119853"
"119894",0,"0",0.85,0.15,"119894"
"119916",0,"0",0.842,0.158,"119916"
"119979",1,"0",0.562,0.438,"119979"
"120062",0,"0",0.632,0.368,"120062"
"120140",1,"1",0.186,0.814,"120140"
"120319",0,"0",0.868,0.132,"120319"
"120818",0,"0",0.974,0.026,"120818"
"121700",0,"1",0.498,0.502,"121700"
"121794",0,"0",0.69,0.31,"121794"
"121811",0,"0",0.85,0.15,"121811"
"121831",1,"0",0.808,0.192,"121831"
"121835",0,"0",0.854,0.146,"121835"
"121937",1,"1",0.43,0.57,"121937"
"122081",1,"1",0.34,0.66,"122081"
"122114",1,"1",0.33,0.67,"122114"
"122120",1,"1",0.264,0.736,"122120"
"122235",1,"1",0.402,0.598,"122235"
"122240",1,"1",0.442,0.558,"122240"
"122268",0,"1",0.194,0.806,"122268"
"122358",0,"1",0.14,0.86,"122358"
"122402",0,"1",0.35,0.65,"122402"
"122448",1,"0",0.644,0.356,"122448"
"122462",0,"0",0.89,0.11,"122462"
"122503",1,"1",0.128,0.872,"122503"
"122573",0,"1",0.296,0.704,"122573"
"122587",1,"1",0.318,0.682,"122587"
"122673",0,"0",0.562,0.438,"122673"
"122690",1,"1",0.416,0.584,"122690"
"122692",0,"0",0.816,0.184,"122692"
"122706",0,"0",0.844,0.156,"122706"
"129738",1,"0",0.582,0.418,"129738"
"151053",0,"0",0.582,0.418,"151053"
"151345",0,"0",0.948,0.052,"151345"
"151357",0,"0",0.626,0.374,"151357"
"151421",0,"0",0.992,0.008,"151421"
"151519",1,"0",0.526,0.474,"151519"
"151540",0,"0",0.946,0.054,"151540"
"151563",0,"0",0.998,0.002,"151563"
"151579",0,"0",0.992,0.008,"151579"
"151595",0,"0",0.98,0.02,"151595"
"151669",1,"1",0.488,0.512,"151669"
"151684",0,"0",0.872,0.128,"151684"
"151716",0,"0",0.92,0.08,"151716"
"151758",0,"0",0.922,0.078,"151758"
"151768",0,"0",0.638,0.362,"151768"
"151854",0,"0",0.604,0.396,"151854"
"151888",0,"0",0.924,0.076,"151888"
"151894",0,"0",0.742,0.258,"151894"
"151920",0,"0",0.938,0.062,"151920"
"151941",0,"0",0.874,0.126,"151941"
"159648",0,"0",0.808,0.192,"159648"
"159653",0,"0",0.8,0.2,"159653"
"159666",1,"0",0.788,0.212,"159666"
"159934",0,"0",0.782,0.218,"159934"
"160138",0,"0",0.536,0.464,"160138"
"160381",1,"0",0.69,0.31,"160381"
"160516",1,"1",0.258,0.742,"160516"
"178985",0,"0",0.946,0.054,"178985"
"179000",0,"0",0.856,0.144,"179000"
"179426",0,"0",0.842,0.158,"179426"
"179578",0,"0",0.924,0.076,"179578"
"179628",0,"0",0.732,0.268,"179628"
"179637",1,"0",0.738,0.262,"179637"
"179658",0,"0",0.616,0.384,"179658"
"179706",0,"0",0.906,0.094,"179706"
"179952",1,"0",0.838,0.162,"179952"
"179953",0,"0",0.778,0.222,"179953"
"179994",0,"0",0.79,0.21,"179994"
"180320",0,"0",0.936,0.064,"180320"
"180378",1,"0",0.556,0.444,"180378"
"180385",1,"0",0.72,0.28,"180385"
"180389",0,"0",0.782,0.218,"180389"
"180390",0,"0",0.856,0.144,"180390"
"180404",0,"0",0.628,0.372,"180404"
"180411",0,"0",0.728,0.272,"180411"
"180420",0,"0",0.87,0.13,"180420"
"180436",0,"0",0.93,0.07,"180436"
"180439",0,"0",0.654,0.346,"180439"
"180464",1,"1",0.37,0.63,"180464"
"180476",1,"0",0.786,0.214,"180476"
"180566",1,"0",0.604,0.396,"180566"
"180577",0,"0",0.804,0.196,"180577"
"180603",0,"0",0.836,0.164,"180603"
"180651",0,"0",0.996,0.004,"180651"
"180706",0,"0",0.946,0.054,"180706"
"180708",0,"0",0.966,0.034,"180708"
"180726",0,"0",0.778,0.222,"180726"
"180751",0,"0",0.982,0.018,"180751"
"180784",1,"0",0.792,0.208,"180784"
"180795",0,"0",0.688,0.312,"180795"
"180807",0,"0",1,0,"180807"
"180811",0,"0",0.97,0.03,"180811"
"180871",0,"1",0.206,0.794,"180871"
"180894",0,"1",0.44,0.56,"180894"
"184121",0,"0",0.822,0.178,"184121"
"184123",0,"0",0.808,0.192,"184123"
"184324",1,"0",0.868,0.132,"184324"
"184377",0,"0",0.804,0.196,"184377"
"185092",0,"0",0.734,0.266,"185092"
"224368",1,"0",0.568,0.432,"224368"
"224395",0,"0",0.786,0.214,"224395"
"224444",1,"1",0.204,0.796,"224444"
"224474",1,"1",0.124,0.876,"224474"
"224495",0,"0",0.612,0.388,"224495"
"224501",0,"0",0.66,0.34,"224501"
"224517",0,"1",0.448,0.552,"224517"
"224528",0,"1",0.464,0.536,"224528"
"224529",0,"0",0.622,0.378,"224529"
"224538",0,"0",0.804,0.196,"224538"
"224587",1,"1",0.078,0.922,"224587"
"224599",1,"1",0.376,0.624,"224599"
"224620",1,"1",0.492,0.508,"224620"
"224670",1,"0",0.824,0.176,"224670"
"225068",0,"0",0.964,0.036,"225068"
"225086",0,"0",0.534,0.466,"225086"
"225995",1,"0",0.62,0.38,"225995"
"226172",0,"0",0.936,0.064,"226172"
"226214",0,"0",0.66,0.34,"226214"
"226759",1,"0",0.712,0.288,"226759"
"226976",1,"0",0.934,0.066,"226976"
"227662",1,"0",0.956,0.044,"227662"
"228385",0,"0",0.894,0.106,"228385"
"228543",0,"0",0.54,0.46,"228543"
"228667",0,"0",0.91,0.09,"228667"
"228720",0,"0",0.856,0.144,"228720"
"228761",1,"1",0.472,0.528,"228761"
"228793",0,"1",0.48,0.52,"228793"
"228855",0,"1",0.44,0.56,"228855"
"228864",1,"1",0.246,0.754,"228864"
"228865",1,"1",0.224,0.776,"228865"
"228882",1,"1",0.128,0.872,"228882"
"228925",1,"1",0.124,0.876,"228925"
"228973",0,"0",0.726,0.274,"228973"
"229069",0,"0",0.644,0.356,"229069"
"229094",1,"0",0.898,0.102,"229094"
"229113",0,"0",0.83,0.17,"229113"
"229114",0,"0",0.682,0.318,"229114"
"229127",0,"0",0.966,0.034,"229127"
"229135",0,"0",0.882,0.118,"229135"
"229152",0,"1",0.498,0.502,"229152"
"229251",0,"0",0.95,0.05,"229251"
"229495",0,"0",0.984,0.016,"229495"
"229516",1,"1",0.34,0.66,"229516"
"234107",0,"0",0.784,0.216,"234107"
"234128",0,"0",0.966,0.034,"234128"
"234367",1,"0",0.888,0.112,"234367"
"234517",0,"0",0.776,0.224,"234517"
"235095",1,"1",0.39,0.61,"235095"
"235152",0,"1",0.436,0.564,"235152"
"235154",0,"0",0.622,0.378,"235154"
"235158",0,"0",0.662,0.338,"235158"
"235168",0,"0",0.694,0.306,"235168"
"235220",1,"1",0.472,0.528,"235220"
"235252",1,"1",0.274,0.726,"235252"
"235253",1,"1",0.424,0.576,"235253"
"235329",0,"0",0.866,0.134,"235329"
"235335",0,"0",0.796,0.204,"235335"
"235376",0,"0",0.684,0.316,"235376"
"235399",1,"0",0.574,0.426,"235399"
"235413",0,"0",0.906,0.094,"235413"
"235419",0,"0",0.912,0.088,"235419"
"264061",0,"0",0.72,0.28,"264061"
"264076",0,"0",0.59,0.41,"264076"
"264108",1,"1",0.074,0.926,"264108"
"264200",1,"1",0.322,0.678,"264200"
"264202",1,"1",0.194,0.806,"264202"
"264291",1,"1",0.148,0.852,"264291"
"264567",1,"1",0.432,0.568,"264567"
"264694",1,"1",0.192,0.808,"264694"
"264979",0,"0",0.81,0.19,"264979"
"265034",0,"0",0.628,0.372,"265034"
"265064",1,"1",0.288,0.712,"265064"
"265078",0,"0",0.668,0.332,"265078"
"265089",0,"0",0.752,0.248,"265089"
"265091",1,"0",0.708,0.292,"265091"
"265107",0,"0",0.806,0.194,"265107"
"265169",0,"1",0.452,0.548,"265169"
"265205",1,"1",0.368,0.632,"265205"
"265210",1,"1",0.068,0.932,"265210"
"265421",1,"1",0.406,0.594,"265421"
"265493",1,"1",0.002,0.998,"265493"
"265532",1,"1",0.002,0.998,"265532"
"265758",1,"1",0,1,"265758"
"265769",1,"1",0.082,0.918,"265769"
"265785",0,"0",0.794,0.206,"265785"
"265844",1,"1",0,1,"265844"
"265900",0,"0",0.71,0.29,"265900"
"265972",0,"0",0.872,0.128,"265972"
"265995",1,"1",0.012,0.988,"265995"
"266035",0,"0",0.784,0.216,"266035"
"266203",1,"1",0.164,0.836,"266203"
"266216",1,"1",0.01,0.99,"266216"
"266236",0,"0",0.802,0.198,"266236"
"266263",1,"0",0.6,0.4,"266263"
"266287",1,"1",0.04,0.96,"266287"
"266296",0,"0",0.562,0.438,"266296"
"266498",1,"1",0.116,0.884,"266498"
"266520",1,"1",0.074,0.926,"266520"
"266547",1,"1",0.086,0.914,"266547"
"266772",1,"1",0.19,0.81,"266772"
"267160",1,"1",0.05,0.95,"267160"
"267234",1,"1",0.108,0.892,"267234"
"267323",1,"1",0.132,0.868,"267323"
"267370",1,"1",0.178,0.822,"267370"
"267372",1,"1",0.146,0.854,"267372"
"267419",1,"1",0.098,0.902,"267419"
"267470",1,"1",0.164,0.836,"267470"
"267501",1,"1",0.414,0.586,"267501"
"267517",1,"0",0.5,0.5,"267517"
"267680",1,"0",0.858,0.142,"267680"
